"rsq","mu","sampling"
0.9579728172747121,35.68112472922541,"Beta-Binomial rho = 0.01"
0.9682194514646014,35.81217523175101,"Beta-Binomial rho = 0.05"
0.9770340244682951,31.270398678812214,"Beta-Binomial rho = 0.1"
0.9961182774533104,123.19792217375642,"Binomial"
0.9892885780897112,116.24723220162338,"Beta-Binomial rho = 0.01"
0.9934508922648824,86.16375405575134,"Beta-Binomial rho = 0.05"
0.9857240167820085,69.34135173440704,"Beta-Binomial rho = 0.1"
0.9988056129192433,74.99012811138508,"Binomial"
0.9965628247743097,64.97267644581731,"Beta-Binomial rho = 0.01"
0.9821909056927757,57.449502914796845,"Beta-Binomial rho = 0.05"
0.9793982895450665,44.48280427633832,"Beta-Binomial rho = 0.1"
0.99172612771475,88.49933504059594,"Binomial"
0.9936178634599075,82.36738696447567,"Beta-Binomial rho = 0.01"
0.9954195903049561,64.12755658189886,"Beta-Binomial rho = 0.05"
0.9935509902402616,61.132151819357716,"Beta-Binomial rho = 0.1"
0.9881231197700033,97.94571148938293,"Binomial"
0.9979179198234638,93.77279444678368,"Beta-Binomial rho = 0.01"
0.9951348985714268,77.53845782242364,"Beta-Binomial rho = 0.05"
0.9936233076473882,57.52756818433824,"Beta-Binomial rho = 0.1"
0.9993456708275352,73.27150692885839,"Binomial"
0.9975868729728437,72.33623544069249,"Beta-Binomial rho = 0.01"
0.9901542935967808,60.523997161046836,"Beta-Binomial rho = 0.05"
0.985097597661046,42.07254487945454,"Beta-Binomial rho = 0.1"
0.9984665587917393,168.67940750631337,"Binomial"
0.9978731686370333,160.32560778204208,"Beta-Binomial rho = 0.01"
0.9892327214101837,120.60512592566091,"Beta-Binomial rho = 0.05"
0.9858870827270653,96.579200242447,"Beta-Binomial rho = 0.1"
0.9973375127629591,105.00595214171199,"Binomial"
0.9983232669685819,96.98539270634208,"Beta-Binomial rho = 0.01"
0.9946201557925743,81.43104503441909,"Beta-Binomial rho = 0.05"
0.9864013889850757,66.4250636683298,"Beta-Binomial rho = 0.1"
0.9982697199433337,91.34330420959361,"Binomial"
0.9928215229990323,89.12339640513589,"Beta-Binomial rho = 0.01"
0.9948151809664302,78.84304143690744,"Beta-Binomial rho = 0.05"
0.9798082415757177,63.480491753348275,"Beta-Binomial rho = 0.1"
0.9968250009838431,123.48271791075315,"Binomial"
0.9909379598042853,122.8935174367866,"Beta-Binomial rho = 0.01"
0.9821842186748665,104.02618138351656,"Beta-Binomial rho = 0.05"
